"asset_id","filename","sha256","size_bytes","status","error_code"
"v2_asset_091","猪_活动_猪舍_风机_01.mp4","8b7f0a2de0dc9ecfbb83851f02d00d373aecd6f32abdaec6d2c0ada7b443f7cf","12543873","PASS",""
"v2_asset_092","猪_活动_猪舍_环境控制屏_01.mp4","062385e5c1b577e9a2d80bafe19c42237c85b3747bceb7b9a61fb7ec38aa96ba","6991945","PASS",""
"v2_asset_093","猪_活动_猪舍_体型对比_01.mov","8efbe730ce792fc8c4a89de24ccb619ae08561b2fb23f7d43adf5217ee803036","3892463","PASS",""
"v2_asset_094","猪_活动_猪舍_体型对比_02.mov","82f58e3d175ac275560add6d740745140f7db38cfcb9e4ad18db85cccc7c96f7","3990863","PASS",""
"v2_asset_095","猪_进食_猪舍_近距离侧脸_01.mp4","804eef2a280dd26145545ae18f6f94cacfaa9fff06f477b25ba1af43b8ac2a00","2853028","PASS",""
"v2_asset_096","猪_躺卧_猪舍_皮肤观察_01.mp4","2fb196c8e1b7bc41ba7d95d1a561c3cb47eb847e630eff31f66fddc091a4ece9","3243904","PASS",""
"v2_asset_097","猪_躺卧休息_猪舍_精神低落_01.mp4","1ce21aedce4dc909e97308197af70d595c9ecfd780eea4b5ffede928966b1d1a","9473057","PASS",""
"v2_asset_098","猪_躺卧休息_猪舍_群体低能量_02.mp4","837bf1fbf978e63142bba4f756417abf1c01e81ef36377b5b0ef38760897546f","12606950","PASS",""
"v2_asset_099","猪_休息_猪舍_光线昏暗_01.mp4","6fb40843a9795b7c93a28f49b762ea257a585eec037c2b0ddfd88fbe1171f2c9","5947869","PASS",""
"v2_asset_100","猪舍_空栏展示_猪舍_清洁栏位_01.mp4","899591f90c8a7a50f1e88eedecc6798fc65459892446c3dd505a86ee80ac95b2","14132376","PASS",""
